_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
1,1,AKKALKUWA,1,AMSHYA FULJI PADVI,Shiv Sena,72411,218,72629,31.55
2,1,AKKALKUWA,2,ADV K C PADAVI,Indian National Congress,69122,603,69725,30.29
3,1,AKKALKUWA,3,PADMAKAR VIJAYSING VALVI,Bharat Adivasi Party,8640,192,8832,3.84
4,1,AKKALKUWA,4,ENG. JELSING BIJALA PAWARA,Independent,2895,16,2911,1.26
5,1,AKKALKUWA,5,SARYA DHARMA PADVI,Independent,1466,7,1473,0.64
6,1,AKKALKUWA,6,SUSHILKUMAR JAHANGIR PAWARA,Independent,2524,5,2529,1.1
7,1,AKKALKUWA,7,DR. HEENA VIJAYKUMAR GAVIT,Independent,66746,285,67031,29.12
8,1,AKKALKUWA,8,NOTA,None of the Above,5066,5,5071,2.2
9,2,SHAHADA,1,RAJESH UDESING PADVI,Bharatiya Janata Party,145660,1179,146839,59.86
10,2,SHAHADA,2,RAJENDRAKUMAR KRISHNARAO GAVIT,Indian National Congress,92917,718,93635,38.17
11,2,SHAHADA,3,GOPAL SURESH BHANDARI,Independent,2376,20,2396,0.98
12,2,SHAHADA,4,NOTA,None of the Above,2409,16,2425,0.99
13,3,NANDURBAR,1,ENGG.KIRAN DAMODAR TADAVI,Indian National Congress,77740,1203,78943,32.87
14,3,NANDURBAR,2,VASUDEV NAMDEV GANGURDE,Maharashtra Navnirman sena,1194,15,1209,0.5
15,3,NANDURBAR,3,DR.VIJAYKUMAR KRUSHANRAO GAVIT,Bharatiya Janata Party,154025,1165,155190,64.62
16,3,NANDURBAR,4,FIROZ DAGDU TADVI,All India Hindustan Congress Party,988,1,989,0.41
17,3,NANDURBAR,5,ARIF RAJJAK TADAVI,Independent,261,1,262,0.11
18,3,NANDURBAR,6,DEVAMAN ZULAL THAKARE,Independent,248,7,255,0.11
19,3,NANDURBAR,7,MALTI DINKAR VALVI,Independent,363,4,367,0.15
20,3,NANDURBAR,8,RAVINDRA RANJIT VALVI,Independent,888,8,896,0.37
21,3,NANDURBAR,9,ROHIDAS GEMJI VALVI,Independent,419,5,424,0.18
22,3,NANDURBAR,10,NOTA,None of the Above,1620,14,1634,0.68
23,4,NAWAPUR,1,BHARAT MANIKRAO GAVIT,Nationalist Congress Party,55706,470,56176,23.29
24,4,NAWAPUR,2,SHIRISHKUMAR SURUPSING NAIK,Indian National Congress,86183,983,87166,36.14
25,4,NAWAPUR,3,ARVIND POSALYA VALVI,Bharat Adivasi Party,1170,12,1182,0.49
26,4,NAWAPUR,4,RANJIT VANTYA GAVIT,Peasants And Workers Party of India,2853,5,2858,1.18
27,4,NAWAPUR,5,ANIL MANJI VALVI,Independent,512,5,517,0.21
28,4,NAWAPUR,6,KAUSHALYA FATTESING GAVIT,Independent,756,3,759,0.31
29,4,NAWAPUR,7,DINESH KASHINATH VALVI,Independent,336,2,338,0.14
30,4,NAWAPUR,8,YAKUB ANIL GAVIT,Independent,612,3,615,0.25
31,4,NAWAPUR,9,SHARAD KRISHNARAO GAVIT,Independent,85657,388,86045,35.67
32,4,NAWAPUR,10,SHARADKUMAR GAVIT,Independent,1012,2,1014,0.42
33,4,NAWAPUR,11,SANJAY DINKAR VALVI,Independent,704,2,706,0.29
34,4,NAWAPUR,12,SANDIP WAMAN GAVIT,Independent,1099,1,1100,0.46
35,4,NAWAPUR,13,NOTA,None of the Above,2711,6,2717,1.13
36,5,SAKRI,1,PRAVIN (GOTU) BAPU CHAURE,Indian National Congress,97828,1237,99065,40.89
37,5,SAKRI,2,MANJULA TULSHIRAM GAVIT,Shiv Sena,103704,945,104649,43.2
38,5,SAKRI,3,RAMESH DOULAT SANE,Bahujan Samaj Party,1397,4,1401,0.58
39,5,SAKRI,4,ASHOK RAGHO SONAWANE,Maharashtra Swarajya party,2094,45,2139,0.88
